"ID","Session","TimeRemaining","Misses","Hits","overallAverageMouseSpeed","thresholdedDirectionChanges","ClickFrequency","Level"
"58","iidnewuyq4ng2z9bhlh5t","0","2","29","1.675","146","0.517","3"
"59","iidnewuyq4ng2z9bhlh5t","0","11","31","1.665","168","0.7","3"
"60","hrnvb4saxxhis9doywwme","0","2","28","14.527","203","0.5","3"
"61","dkxmbkd4ndss8uncqzh2bg","0","1","25","11.564","204","0.433","3"
"62","gxtx0t83hbz108t46i6fi","0","3","38","1.616","99","0.683","3"
"63","wgai12x5a6egt6g2igu1","0","1","26","14.04","142","0.45","3"
"64","a0t61evv7q7ouamght45zk","0","0","27","10.602","134","0.45","3"
"65","mofp2vr7irf5ieu9ybxwga","0","0","35","4.093","841","0.583","3"
"66","0zj0obwqdrv237do60qb3w","0","2","32","15.167","210","0.567","3"
"67","z7qq4b7bg2f0l1fmlyphqrq","0","0","39","9.735","279","0.65","3"
"68","8wtzzz5q8e37e7elgi6nwh","0","0","35","334.94","31","0.583","3"
"69","mwhxltgbr798u0rv724p1c","0","5","46","9.94","317","0.85","3"
"70","mwhxltgbr798u0rv724p1c","0","4","42","11.32","326","0.767","3"
"71","zis5ziyf98ntc8j9mvoz5o","0","2","31","12.002","174","0.55","3"
"72",,"0","3","42","12.435","226","0.75","3"
"73","92mym4y7qtfi89fwh4wr3o","0","7","46","9.59","239","0.883","3"
"74","ydfj18rf696adzetc2rda","0","2","22","9.942","99","0.4","3"
"75","o9walhiv5n6avkmb9kfpx","0","2","36","14.703","196","0.633","3"
"76","pgdtfg990j2t3a62lmp4o","0","4","43","7.634","178","0.783","3"
"77","c71pcae89s0ur0hj0uoxok","0","0","37","7.315","228","0.617","3"
"78","c71pcae89s0ur0hj0uoxok","0","1","40","6.167","197","0.683","3"
"79","k6yysg1xv2rwvnsoltqz","0","8","38","15.806","206","0.767","3"
"80","8heqbtzu0yaqct9k1buet","0","0","34","16.588","175","0.567","3"
"81","9d3dvv95uuov0tkhasvhv","0","1","41","15.955","278","0.7","3"
"82","36fryxceczgc1z7ircirr6","0","0","40","14.708","248","0.667","3"
"83","gg8vwujmo6lwb4tt6kb2r","0","0","36","16.023","212","0.6","3"
"84","wvr8awzbiallju72rftdm","0","7","39","7.547","227","0.767","3"
"85","gg9dm8x5qatwhicucyx9e","0","1","39","14.754","203","0.667","3"
"86","tiwgnihk4ias4vparkzsdo","0","2","45","14.954","198","0.783","3"
"87","pteeigacyib6o1t2g9o1qi","0","5","45","8.479","170","0.833","3"
"88","wd7og5hjpce54pxsz88y5y","0","7","1","49.175","5","0.133","3"
"89","xmwbuzxoyk1i3xqzwtr43","0","1","29","13.95","126","0.5","3"
"90","wg2d8h3lpial5bkmucfm2t","0","1","35","21.89","126","0.6","3"
"91","8tmf619sd58ysl4rnpvwhe","0","6","38","15.93","213","0.733","3"
"92","833idjt7nchyz80j5runs","0","3","43","7.334","162","0.767","3"
"93","833idjt7nchyz80j5runs","0","1","46","7.149","222","0.783","3"
"94","op57zjc57mlqb1fy63vjpe","0","1","44","14.422","180","0.75","3"
"95","qdesceesk8gsx88leidjr","0","2","38","14.58","162","0.667","3"
"96","gu0uqn7843mh58s4731k9u","0","4","32","20.683","112","0.6","3"
"97","bmg2gui4c0uy86rcwi668","0","1","32","16.795","204","0.55","3"
"98","sjzqfa70p8mqsu8s12rrd","0","5","41","17.919","218","0.767","3"
"99",,"0","9","17","300.871","24","0.433","3"
"100","xw0irhft9lnbjwbb1baimb","0","17","18","227.926","30","0.583","3"
"101","kqgqgdwchpolst0czq759","0","2","43","15.327","223","0.75","3"
"102","z50i8s34h6yxfm809z9b","0","0","45","15.455","212","0.75","3"
"103","27i6n2yb6ak2nk34fekjzi","0","2","30","13.324","164","0.533","3"
"104","fzi5s53b0vqd8o8eo4pe5g","0","3","29","20.256","190","0.533","3"
"105","fzi5s53b0vqd8o8eo4pe5g","0","0","38","18.035","176","0.633","3"
"106","kg7tag9hkidfg2nizl0k","0","2","31","3.893","762","0.55","3"
"107","z84fm78fqvg3hfnw5t24","0","0","42","16.973","146","0.7","3"
"108","z84fm78fqvg3hfnw5t24","0","1","42","17.483","151","0.717","3"
"109","z84fm78fqvg3hfnw5t24","0","0","37","20.834","180","0.617","3"
"110","z84fm78fqvg3hfnw5t24","0","0","37","17.315","158","0.617","3"
"111","z84fm78fqvg3hfnw5t24","0","0","36","20.049","191","0.6","3"
"112","z84fm78fqvg3hfnw5t24","0","0","36","22.467","188","0.6","3"
"113","z84fm78fqvg3hfnw5t24","0","2","39","20.066","225","0.683","3"
"114",,"0","1","40","18.464","194","0.683","3"
"115","zukiavdfb4f7vofa9g5eu","0","0","39","19","198","0.65","3"
